SIZE,45_degC,60_degC,75_degC,90_degC,110_degC
1,23.3,24.5,25.8,27,28.7
1.5,14.9,15.7,16.5,17.3,18.4
2.5,8.14,8.57,9.01,9.45,10
4,5.06,5.33,5.61,5.88,6.24
6,3.38,3.56,3.75,3.93,4.17
10,2.01,2.12,2.23,2.33,2.48
16,1.26,1.33,1.4,1.47,1.56
25,0.799,0.842,0.884,0.927,0.984
35,0.576,0.607,0.638,0.669,0.71
50,0.426,0.449,0.471,0.494,0.524
70,0.295,0.311,0.327,0.343,0.364
95,0.214,0.225,0.236,0.248,0.262
120,0.17,0.179,0.188,0.197,0.209
150,0.139,0.146,0.153,0.16,0.17
185,0.112,0.118,0.123,0.129,0.136
240,0.087,0.0912,0.0955,0.0998,0.105
300,0.0712,0.0745,0.0778,0.0812,0.0852
400,0.058,0.0605,0.063,0.0656,0.0685
500,0.0486,0.0506,0.0525,0.0544,0.0565
