SIZE,45_degC,60_degC,75_degC,90_degC,110_degC
1,23.3,24.5,25.8,27,28.7
1.5,14.9,15.7,16.5,17.3,18.4
2.5,8.14,8.57,9.01,9.45,10
4,5.06,5.33,5.61,5.88,6.24
6,3.38,3.56,3.75,3.93,4.17
10,2.01,2.12,2.23,2.33,2.48
16,1.26,1.33,1.4,1.47,1.56
25,0.799,0.842,0.884,0.927,0.984
35,0.576,0.607,0.638,0.668,0.71
50,0.426,0.448,0.471,0.494,0.524
70,0.295,0.311,0.327,0.342,0.363
95,0.213,0.225,0.236,0.247,0.262
120,0.17,0.179,0.188,0.197,0.208
150,0.138,0.145,0.153,0.16,0.169
185,0.111,0.117,0.123,0.129,0.136
240,0.0862,0.0905,0.0948,0.0991,0.105
300,0.0703,0.0736,0.077,0.0803,0.0846
400,0.0569,0.0595,0.062,0.0646,0.0677
500,0.0467,0.0487,0.0506,0.0525,0.0547
630,0.0389,0.0404,0.0418,0.0432,0.0448
