Type,Layer,1,2,3,4,6,9
horzperftray_touching,1,1,0.88,0.82,0.79,0.76,0.73
horzperftray_touching,2,1,0.87,0.8,0.77,0.73,0.68
horzperftray_touching,3,1,0.86,0.79,0.76,0.71,0.66
horzperftray_touching,6,1,0.84,0.77,0.73,0.68,0.64
horzperftray_spaced,1,1,1,0.98,0.95,0.91,
horzperftray_spaced,2,1,0.99,0.96,0.92,0.87,
horzperftray_spaced,3,1,0.98,0.95,0.91,0.85,
vertperftray_touching,1,1,0.88,0.82,0.78,0.73,0.72
vertperftray_touching,2,1,0.88,0.81,0.76,0.71,0.7
vertperftray_spaced,1,1,0.91,0.89,0.88,0.87,
vertperftray_spaced,2,1,0.91,0.88,0.87,0.85,
unpftray_touching,1,0.97,0.84,0.78,0.75,0.71,0.68
unpftray_touching,2,0.97,0.83,0.76,0.72,0.68,0.63
unpftray_touching,3,0.97,0.82,0.75,0.71,0.66,0.61
unpftray_touching,6,0.97,0.81,0.73,0.69,0.63,0.58
ladder_touching,1,1,0.87,0.82,0.8,0.79,0.78
ladder_touching,2,1,0.86,0.8,0.78,0.76,0.73
ladder_touching,3,1,0.85,0.79,0.76,0.73,0.7
ladder_touching,6,1,0.84,0.77,0.73,0.68,0.64
ladder_spaced,1,1,1,1,1,1,
ladder_spaced,2,1,0.99,0.98,0.97,0.96,
ladder_spaced,3,1,0.98,0.97,0.96,0.93,
