Type,Layer,1,2,3
horzperftray_flat,1,0.98,0.91,0.87
horzperftray_flat,2,0.96,0.87,0.81
horzperftray_flat,3,0.95,0.85,0.78
vertperftray_flat,1,0.96,0.86,0.86
vertperftray_flat,2,0.95,0.84,0.84
ladder_flat,1,1,0.97,0.96
ladder_flat,2,0.98,0.93,0.89
ladder_flat,3,0.97,0.9,0.86
horzperftray_trefoil,1,1,0.98,0.96
horzperftray_trefoil,2,0.97,0.93,0.89
horzperftray_trefoil,3,0.96,0.92,0.86
vertperftray_trefoil,1,1,0.91,0.89
vertperftray_trefoil,2,1,0.9,0.86
ladder_trefoil,1,1,1.008,1
ladder_trefoil,2,0.97,0.95,0.93
ladder_trefoil,3,0.96,0.94,0.9
