kW,Frame_Size,Speed,eta_full,eta_three_fourth,eta_half,pf,In,Is_by_In,Tn,Ti_by_Tn,Tb_by_Tn,J,weight
0.37,E2BA71B4,1380,70.1,70.1,68.7,0.83,0.9,4,2.6,1.6,2.1,0.00088,11
0.55,E2BA80A4,1415,75.1,75.1,71.4,0.73,1.4,5,3.7,2,2.8,0.00144,15
0.75,E2BA80D4,1430,79.6,79.6,76.2,0.73,1.8,6,5,2.7,3.2,0.00205,17
1.1,E2BA90SLC4,1435,81.4,81.4,80.9,0.8,2.4,6,7.3,2.7,3.4,0.0044,25
1.5,E2BA90SLD4,1430,82.8,82.8,81,0.83,3,6,10,2.5,3,0.00538,27
2.2,E2BA100LC4,1450,84.3,84.3,82.6,0.78,4.7,7,14.5,2.9,3.6,0.00948,36
3.7,E2BA112MB4,1440,86.3,86.3,85.9,0.81,7.4,7,24.5,2.5,2.9,0.0125,44
5.5,E2BA132SMB4,1460,87.7,87.7,86.8,0.8,10.9,7,36,1.8,2.4,0.03282,70
7.5,E2BA132SMC4,1450,88.7,88.7,86,0.81,14.5,7,49.4,1.6,2.4,0.03659,73
9.3,M2BAX160MLJ4,1460,89.3,89.8,88,0.84,17.4,7,61,2.3,2.9,0.0738,107
11,M2BAX160MLA4,1463,89.8,90.4,89.4,0.85,20.2,7,72,2.3,2.9,0.084,115
15,M2BAX160MLB4,1463,90.6,91.2,90.2,0.84,27.6,7,98,2.5,3.1,0.1025,134
18.5,M2BAX180MLA4,1464,91.2,91.8,90.9,0.84,33.8,7,121,2.9,3.5,0.1217,155
22,M2BAX180MLB4,1465,91.6,92.1,91.2,0.83,40.5,7,143,2.5,3.2,0.1396,171
30,M2BAX200MLA4,1474,92.3,92.5,91.8,0.84,54.1,7,194,2.7,3.5,0.2572,229
37,M2BAX225SMA4,1478,92.7,93.1,92.2,0.85,65.7,6.5,239,2.3,2.7,0.3605,267
45,M2BAX225SMB4,1478,93.1,93.5,92.6,0.84,80.5,7,291,2.4,2.9,0.4314,304
55,M2BAX250SMA4,1478,93.5,93.7,92.9,0.85,96.8,7,355,2.7,3,0.5331,342
75,E2HX280SMB4,1478,94,94,93,0.87,128,7,485,2.4,2.7,1.11,670
90,E2HX280SMC4,1479,94.2,94.2,93.2,0.85,156,7,581,2.6,2.8,1.425,730
110,E2BA315SMA4,1486,94.5,94.5,93.5,0.88,184,7,707,2.3,2.8,2.387,930
125,E2BA315SMB4k,1486,94.6,94.6,93.6,0.86,214,7,803,2,2.7,2.65,960
132,E2BA315SMB4,1486,94.7,94.7,93.7,0.86,225,7,848,2.3,2.7,2.65,960
160,E2BA315MLA4,1485,94.9,94.9,93.9,0.87,270,7,1029,2.3,2.6,3.375,1110
200,E2BA315MLC4,1485,95.1,95.1,94.1,0.88,332,7,1286,2.4,2.8,4.25,1260
250,E2BA355SMA4,1486,95.1,95.1,94.1,0.87,420,7,1607,2,2.5,6.625,1620
315,E2BA355MLA4,1486,95.1,95.1,94.1,0.87,530,7,2024,2.5,3,8.25,1870
355,E2BA355MLB4,1486,95.1,95.1,94.1,0.87,597,7,2281,2.2,3,10,2110
