Model,Ah,480,300,180,120,90,60,30,20,15,10,5,1,0.5,0.083,0.017
HC9P,9,1.11,1.77,2.91,4.3,5.68,8.21,14.5,17.4,20.2,23.8,28.5,38.5,45.2,55.2,59.6
HC12P,12,1.49,2.36,3.89,5.74,7.58,11,19.4,23.3,26.9,31.8,37.9,51.3,60.3,73.7,79.5
HC17P,17,2.1,3.35,5.5,8.13,10.7,15.5,27.4,32.9,38.1,45,53.7,72.7,85.4,104,113
HC21P,21,2.6,4.13,6.8,10,13.3,19.2,33.9,40.7,47,55.6,66.4,89.8,106,129,139
HC25P,25,3.09,4.92,8.09,12,15.8,22.8,40.3,48.4,56,66.2,79,107,126,153,166
HC29P,29,3.59,5.71,9.39,13.9,18.3,26.5,46.8,56.2,65,76.8,91.7,124,146,178,192
HC34P,34,4.21,6.69,11,16.3,21.5,31,54.8,65.9,76.2,90.1,107,145,171,209,225
HC40P,40,4.98,7.88,13,19.1,25.1,36.3,65.3,80,92.3,109,130,176,200,247,265
HC50P,50,6.22,9.85,16.2,23.9,31.4,45.4,81.6,100,115,137,162,219,250,309,331
HC60P,60,7.47,11.8,19.5,28.7,37.7,54.5,98,120,138,164,195,263,300,370,397
HC70P,70,8.71,13.8,22.7,33.5,44,63.6,114,140,161,192,227,307,350,432,464
HC80P,80,10,15.8,26,38.3,50.3,72.7,131,160,185,219,259,351,400,494,530
HC90P,90,11.2,17.7,29.2,43.1,56.6,81.7,147,180,208,246,292,395,450,556,596
HC100P,100,12.4,19.7,32.4,47.9,62.9,90.8,163,200,231,274,324,439,500,617,662
HC110P,110,13.7,21.7,35.7,52.6,69.1,100,180,220,254,301,357,483,550,679,728
HC120P,120,14.9,23.6,38.9,57.4,75.4,109,196,240,277,328,389,527,600,741,795
HC130P,130,16.1,25.6,42.2,62.5,81.9,119,211,256,291,343,399,517,583,704,734
HC145P,145,18,28.6,47.1,69.7,91.3,132,235,286,325,382,445,577,651,785,818
HC155P,155,19.2,30.6,50.3,74.5,97.6,141,252,306,347,409,475,616,696,839,875
HC170P,170,21.1,33.5,55.2,81.7,107,155,276,335,381,448,521,676,763,920,959
HC185P,185,23,36.5,60.1,88.9,116,169,300,365,415,488,567,736,830,1002,1044
HC210P,210,26.1,41.4,68.2,101,132,191,341,414,471,554,644,835,942,1137,1185
HB230P,230,28.6,45.3,74.7,110,145,210,373,453,516,606,706,914,1032,1245,1298
HB255P,255,31.7,50.3,82.8,123,161,233,414,503,572,672,782,1014,1144,1381,1439
HB270P,270,33.5,53.2,87.6,130,170,246,438,532,605,712,828,1074,1212,1462,1524
HB280P,280,34.8,55.2,90.9,135,176,255,454,552,628,738,859,1113,1257,1516,1580
HB305P,305,37.9,60.1,99,147,192,278,495,601,684,804,936,1213,1369,1651,1721
HB325P,325,40.4,64.1,106,156,205,296,528,641,729,857,997,1292,1459,1760,1834
HB345P,345,42.8,68,112,166,217,315,560,680,773,909,1058,1372,1548,1868,1947
HB365P,365,45.3,72,118,175,230,333,592,720,818,962,1120,1451,1638,1976,2060
HB385P,385,47.8,75.9,125,185,242,351,625,759,863,1015,1181,1531,1728,2084,2172
HB400P,400,49.7,78.9,130,192,252,365,649,789,897,1054,1227,1590,1795,2166,2257
HB420P,420,52.2,82.8,136,202,264,383,682,828,942,1107,1288,1670,1885,2274,2370
HB440P,440,54.6,86.8,143,211,277,401,714,868,986,1160,1350,1749,1975,2382,2483
HB460P,460,57.1,90.7,149,221,290,419,747,907,1031,1213,1411,1829,2064,2490,2596
HB510P,510,63.3,101,166,245,321,465,828,1006,1143,1344,1564,2028,2289,2761,2878
HB560P,560,69.5,110,182,269,353,511,909,1104,1255,1476,1718,2227,2513,3032,3160
HB600P,600,74.5,118,195,288,378,547,974,1183,1345,1582,1841,2386,2693,3248,3386
HB615P,615,76.4,121,200,295,387,561,998,1213,1379,1621,1887,2445,2760,3330,3470
HB640P,640,79.5,126,208,307,403,584,1039,1262,1435,1687,1963,2545,2872,3465,3611
HB655P,655,81.3,129,213,315,412,597,1063,1291,1468,1727,2009,2604,2940,3546,3696
HB670P,670,83.2,132,217,322,422,611,1087,1321,1502,1766,2055,2664,3007,3627,3781
HB705P,705,87.5,139,229,339,444,643,1144,1390,1580,1858,2163,2803,3164,3817,3978
HB765P,765,95,151,248,368,482,698,1242,1508,1715,2017,2347,3042,3433,4142,4317
HB800P,800,99.3,158,260,384,504,729,1298,1577,1793,2109,2454,3181,3590,4331,4514
HB865P,865,107,171,281,416,545,789,1404,1706,1939,2280,2653,3439,3882,4683,4881
HB920P,920,114,181,299,442,579,839,1493,1814,2062,2425,2822,3658,4129,4981,5191
