S_No,T_1,C_1,T_30,C_30,T_300,C_300
1,-29.38,0.37,-29.20,0.49,-29.51,0.69
2,-26.06,0.41,-23.89,0.55,-24.38,0.75
3,-19.80,0.49,-19.43,0.60,-19.93,0.80
4,-14.30,0.57,-15.07,0.65,-14.90,0.84
5,-8.52,0.64,-10.33,0.71,-11.86,0.88
6,-4.16,0.69,-5.49,0.77,-9.02,0.90
7,-0.17,0.75,-0.66,0.82,-4.84,0.94
8,5.61,0.83,4.18,0.88,-0.48,0.97
9,11.01,0.90,9.11,0.94,2.08,0.98
10,15.76,0.96,12.91,0.99,5.60,0.99
11,18.79,1.00,12.91,0.99,9.49,1.00
12,25.91,1.00,15.66,1.00,14.04,1.00
13,,,20.21,1.00,17.84,1.00
14,,,26.67,1.00,20.21,1.00
15,,,,,24.11,1.00
16,,,,,27.33,1.00
