Model,Ah,600,480,300,180,120,90,60,30,20,15,10,5,1,0.5,0.083,0.017
LCE10P,10,0.99,1.15,1.53,2.54,3.16,3.49,3.94,5.05,5.69,6,6.68,8.03,9.01,9.61,11.3,11.6
LCE15P,15,1.47,1.73,2.48,3.53,4.38,4.92,5.91,7.58,8.53,9.18,9.66,11,14.3,16.5,21.6,24.8
LCE22P,22,2.16,2.54,3.64,5.17,6.42,7.21,8.67,11.1,12.5,13.5,14.2,16.2,20.9,24.2,31.7,36.4
LCE30P,30,2.94,3.46,4.97,7.05,8.76,9.83,11.8,15.2,17.1,18.4,19.3,22.1,28.5,33,43.3,49.6
LCE40P,40,3.92,4.61,6.62,9.4,11.7,13.1,15.8,20.2,22.8,24.5,25.8,29.4,38,44,57.7,66.1
LCE47P,47,4.61,5.42,7.78,11,13.7,15.4,18.5,23.7,26.7,28.8,30.3,34.6,44.7,51.7,67.8,77.7
LCE55P,55,5.39,6.34,9.1,12.9,16.1,18,21.7,27.8,31.3,33.7,35.4,40.5,52.3,60.5,79.3,90.9
LCE62P,62,6.08,7.15,10.3,14.6,18.1,20.3,24.4,31.3,35.3,37.9,39.9,45.6,58.9,68.2,89.4,102
LCE70P,70,6.72,7.9,11.5,16.1,19.8,22.1,25.4,32,36.5,36.6,41.9,45.1,56,62,79.4,89.6
LCE75P,75,7.2,8.46,12.3,17.2,21.3,23.7,27.2,34.3,39.1,39.3,44.9,48.3,60,66.4,85.1,96
LCE85P,85,8.16,9.59,13.9,19.5,24.1,26.9,30.8,38.9,44.3,44.5,50.8,54.8,68,75.3,96.4,109
LCE90P,90,8.64,10.2,14.8,20.6,25.5,28.5,32.6,41.2,46.9,47.1,53.8,58,72,79.7,102,115
LCE100P,100,9.6,11.3,16.4,22.9,28.4,31.6,36.3,45.8,52.2,52.3,59.8,64.4,80,88.5,113,128
LCE110P,110,10.6,12.4,18,25.2,31.2,34.8,39.9,50.4,57.4,57.6,65.8,70.9,88,97.4,125,141
LCE125P,125,12,14.1,20.5,28.7,35.4,39.6,45.3,57.2,65.2,65.4,74.8,80.5,100,111,142,160
LCE145P,145,13.9,16.4,23.8,33.3,41.1,45.9,52.6,66.4,75.6,75.9,86.7,93.4,116,128,165,186
LCE165P,165,15.8,18.6,27.1,37.8,46.8,52.2,59.9,75.5,86.1,86.4,98.7,106,132,146,187,211
LCE185P,185,17.8,20.9,30.3,42.4,52.5,58.5,67.1,84.7,96.5,96.8,111,119,148,164,210,237
LCE200P,200,19.2,22.6,32.8,45.9,56.7,63.3,72.5,91.6,104,105,120,129,160,177,227,256
LCE220P,220,21.1,24.8,36.1,50.5,62.4,69.6,79.8,101,115,115,132,142,176,195,250,282
LCE235P,235,23,27.1,38.9,53.1,63.7,70.6,81.4,104,111,116,130,151,176,192,239,265
LCE255P,255,24.9,29.4,42.2,57.7,69.2,76.6,88.3,113,121,125,141,164,191,208,259,287
LCE280P,280,27.4,32.3,46.4,63.3,75.9,84.1,97,124,133,138,155,180,209,229,285,315
LCE300P,300,29.3,34.6,49.7,67.8,81.4,90.1,104,133,142,148,166,193,224,245,305,338
LCE330P,330,32.3,38,54.7,74.6,89.5,99.1,114,146,156,162,183,212,247,270,336,372
LCE360P,360,35.2,41.5,59.6,81.4,97.6,108,125,159,171,177,199,232,269,294,366,405
LCE375P,375,36.7,43.2,62.1,84.8,102,113,130,166,178,184,208,241,280,307,382,422
LBE400P,400,39.1,46.1,66.3,90.4,108,120,139,177,190,197,221,257,299,327,407,450
LBE415P,415,40.6,47.8,68.7,93.8,113,125,144,184,197,204,230,267,310,339,422,467
LBE460P,460,45,53,76.2,104,125,138,159,204,218,226,255,296,344,376,468,518
LBE500P,500,48.9,57.6,82.8,113,136,150,173,221,237,246,277,322,374,409,509,563
LBE510P,510,49.9,58.8,84.5,115,138,153,177,226,242,251,282,328,381,417,519,574
LBE550P,550,53.8,63.4,91.1,124,149,165,190,243,261,271,304,354,411,450,560,619
LBE600P,600,58.7,69.1,99.4,136,163,180,208,266,284,295,332,386,449,490,610,676
LBE650P,650,63.6,74.9,108,147,176,195,225,288,308,320,360,418,486,531,661,732
LBE700P,700,68.5,80.7,116,158,190,210,242,310,332,344,387,450,523,572,712,788
LBE750P,750,73.4,86.4,124,170,203,225,260,332,356,369,415,483,561,613,763,845
LBE800P,800,78.3,92.2,133,181,217,240,277,354,379,394,443,515,598,654,814,901
LBE830P,830,81.2,95.6,137,188,225,249,287,367,394,408,459,534,621,678,844,935
LBE890P,890,87.1,103,147,201,241,267,308,394,422,438,493,573,666,727,905,1002
LBE925P,925,90.5,107,153,209,251,278,320,410,439,455,512,595,692,756,941,1042
LBE980P,980,95.9,113,162,222,266,294,339,434,465,482,542,631,733,801,997,1104
LBE1000P,1000,97.8,115,166,226,271,300,346,443,474,492,553,644,748,817,1017,1126
LBE1020P,1020,100,118,169,231,277,306,353,452,484,502,564,656,763,834,1038,1149
LBE1070P,1070,105,123,177,242,290,321,371,474,507,526,592,689,800,875,1089,1205
LBE1100P,1100,108,127,182,249,298,330,381,487,522,541,609,708,823,899,1119,1239
LBE1150P,1150,113,133,191,260,312,346,398,509,545,566,636,740,860,940,1170,1295
LBE1200P,1200,117,138,199,271,325,361,416,531,569,590,664,772,897,981,1221,1351
LBE1250P,1250,122,144,207,283,339,376,433,553,593,615,692,804,935,1022,1272,1408
LBE1300P,1300,127,150,215,294,353,391,450,576,616,639,719,837,972,1063,1323,1464
LBE1350P,1350,132,156,224,305,366,406,467,598,640,664,747,869,1010,1103,1373,1520
LBE1400P,1400,137,161,232,317,380,421,485,620,664,689,775,901,1047,1144,1424,1577
LBE1450P,1450,142,167,240,328,393,436,502,642,687,713,802,933,1084,1185,1475,1633
LBE1500P,1500,147,173,248,339,407,451,519,664,711,738,830,965,1122,1226,1526,1689
LBE1550P,1550,152,179,257,350,420,466,537,686,735,762,858,997,1159,1267,1577,1745
LBE1600P,1600,157,184,265,362,434,481,554,708,759,787,885,1030,1197,1308,1628,1802
LBE1660P,1660,162,191,275,375,450,499,575,735,787,817,919,1068,1241,1357,1689,1869
LBE1690P,1690,165,195,280,382,458,508,585,748,801,831,935,1088,1264,1381,1719,1903
