Model,Ah,600,480,300,180,120,90,60,30,20,15,10,5,1,0.5,0.083,0.017
MC9P,9,0.91,1.13,1.78,2.9,4.01,5.06,6.47,8.11,9.65,10.6,11.7,14,20.8,23.9,29.4,31.8
MC14P,14,1.41,1.75,2.77,4.51,6.23,7.87,10.1,12.6,15,16.4,18.3,21.8,32.3,37.2,45.8,49.5
MC22P,22,2.21,2.75,4.36,7.08,9.9,12.5,16,20.1,23.8,26,28.6,33.4,47.5,53.9,63.9,69.1
MC31P,31,3.12,3.88,6.14,10,13.9,17.6,22.6,28.4,33.5,36.6,40.4,47.1,66.9,76,90,97.3
MC39P,39,3.93,4.88,7.72,12.6,17.5,22.1,28.4,35.7,42.1,46.1,50.8,59.3,84.2,95.6,113,122
MC47P,47,4.73,5.88,9.31,15.1,21,26.6,34.2,43,50.8,55.5,61.2,71.5,101,115,137,148
MC50P,50,5.03,6.25,9.9,16.1,22.4,28.3,36.4,45.7,54,59.1,65.1,76,108,123,145,157
MC55P,55,5.54,6.88,10.9,17.7,24.6,31.2,40,50.3,59.4,65,71.6,83.6,119,135,160,173
MC60P,60,6.05,7.5,11.9,19.4,26.9,34.4,45.3,58.4,68.9,74.9,83.6,97.9,139,157,190,203
MC70P,70,7.05,8.76,13.9,22.6,31.4,40.1,52.9,68.2,80.4,87.4,97.5,114,162,183,221,237
MC80P,80,8.06,10,15.9,25.8,35.9,45.9,60.5,77.9,91.8,100,111,130,186,210,253,271
MC90P,90,9.07,11.3,17.9,29.1,40.4,51.6,68,87.6,103,112,125,147,209,236,285,304
MC100P,100,10.1,12.5,19.8,32.3,44.9,57.3,75.6,97.4,115,125,139,163,232,262,316,338
MC110P,110,11.1,13.8,21.8,35.5,49.4,63.1,83.1,107,126,137,153,179,255,288,348,372
MC115P,115,11.6,14.4,22.8,37.2,51.6,65.9,86.9,112,132,144,160,188,267,301,364,389
MC130P,130,13.1,16.3,25.8,42,58.3,74.5,98.2,127,149,162,181,212,301,341,411,440
MC140P,140,14.1,17.5,27.8,45.2,62.8,80.3,106,136,161,175,195,228,325,367,443,473
MC145P,145,14.6,18.1,28.8,46.8,65.1,83.1,110,141,166,181,202,237,336,380,459,490
MC150P,150,15.1,18.8,29.8,48.5,67.3,86,113,146,172,187,209,245,348,393,475,507
MC165P,165,16.6,20.6,32.7,53.3,74.1,94.6,125,161,189,206,230,269,383,432,522,558
MC185P,185,18.6,23.1,36.7,59.8,83,106,140,180,212,231,258,302,429,485,585,626
MC190P,190,19.2,23.8,37.7,61.4,85.3,109,144,184,217,236,258,299,418,470,554,597
MC200P,200,20.2,25,39.6,64.6,89.8,115,151,193,228,248,271,315,440,495,583,628
MC215P,215,21.7,26.9,42.6,69.5,96.5,123,163,208,245,267,292,338,473,532,627,675
MC220P,220,22.2,27.5,43.6,71.1,98.8,126,166,213,251,273,299,346,484,544,641,691
MC240P,240,24.2,30,47.6,77.6,108,138,181,232,273,298,326,378,528,594,700,754
MC250P,250,25.2,31.3,49.6,80.8,112,143,189,242,285,310,339,393,550,619,729,785
MC260P,260,26.2,32.5,51.5,84,117,149,197,251,296,323,353,409,572,643,758,816
MC285P,285,28.8,35.6,56.5,92.1,128,163,216,276,325,354,387,448,627,705,831,895
MC310P,310,31.3,38.8,61.4,100,139,178,234,300,353,385,421,488,682,767,904,973
MC335P,335,33.8,41.9,66.4,108,150,192,253,324,382,416,455,527,737,829,977,1052
MB350P,350,35.3,43.8,69.4,113,157,201,265,338,399,435,475,551,770,866,1021,1099
MB370P,370,37.3,46.3,73.3,120,166,212,280,358,422,459,502,582,814,915,1079,1162
MB390P,390,39.3,48.8,77.3,126,175,224,295,377,444,484,529,614,858,965,1137,1225
MB415P,415,41.9,51.9,82.3,134,186,238,314,401,473,515,563,653,913,1027,1210,1303
MB440P,440,44.4,55,87.2,142,198,252,333,425,501,546,597,692,968,1089,1283,1382
MB460P,460,46.4,57.5,91.2,149,207,264,348,445,524,571,624,724,1012,1138,1341,1444
MB480P,480,48.4,60,95.1,155,216,275,363,464,547,596,651,755,1056,1188,1400,1507
MB505P,505,51,63.1,100,163,227,290,382,488,575,627,685,794,1111,1249,1472,1586
MB525P,525,53,65.6,104,170,236,301,397,508,598,652,713,826,1155,1299,1531,1649
MB555P,555,56,69.4,110,179,249,318,420,537,632,689,753,873,1221,1373,1618,1743
MB575P,575,58,71.9,114,186,258,330,435,556,655,714,780,905,1265,1423,1677,1806
MB600P,600,60.5,75,119,194,269,344,454,580,684,745,814,944,1320,1484,1749,1884
MB625P,625,63.1,78.1,124,202,281,358,473,604,712,776,848,983,1376,1546,1822,1963
MB645P,645,65.1,80.6,128,208,290,370,488,624,735,801,875,1015,1420,1596,1881,2025
MB670P,670,67.6,83.8,133,217,301,384,507,648,763,832,909,1054,1475,1658,1954,2104
MB690P,690,69.6,86.3,137,223,310,396,522,667,786,857,937,1085,1519,1707,2012,2167
MB720P,720,72.6,90,143,233,323,413,544,696,820,894,977,1133,1585,1781,2099,2261
MB740P,740,74.7,92.5,147,239,332,424,560,715,843,919,1004,1164,1629,1831,2158,2324
MB765P,765,77.2,95.6,152,247,343,439,578,740,872,950,1038,1203,1684,1893,2231,2402
MB790P,790,79.7,98.8,157,255,355,453,597,764,900,981,1072,1243,1739,1955,2303,2481
MB830P,830,83.7,104,165,268,373,476,628,802,946,1031,1127,1306,1827,2054,2420,2606
MB865P,865,87.3,108,171,280,388,496,654,836,986,1074,1174,1361,1904,2140,2522,2716
MB890P,890,89.8,111,176,288,400,510,673,860,1014,1105,1208,1400,1959,2202,2595,2795
MB920P,920,92.8,115,182,297,413,527,696,889,1048,1142,1249,1447,2025,2276,2682,2889
MB940P,940,94.8,118,186,304,422,539,711,909,1071,1167,1276,1479,2069,2326,2741,2952
MB965P,965,97.4,121,191,312,433,553,730,933,1100,1198,1310,1518,2124,2388,2814,3030
MB1000P,1000,101,125,198,323,449,573,756,967,1140,1242,1357,1573,2201,2474,2916,3140
MB1040P,1040,105,130,206,336,467,596,786,1005,1185,1291,1412,1636,2289,2573,3032,3266
MB1080P,1080,109,135,214,349,485,619,817,1044,1231,1341,1466,1699,2377,2672,3149,3391
MB1100P,1100,111,138,218,356,494,631,832,1063,1253,1366,1493,1730,2421,2722,3207,3454
MB1150P,1150,116,144,228,372,516,659,870,1112,1310,1428,1561,1809,2531,2845,3353,3611
MB1180P,1180,119,148,234,381,530,677,892,1141,1345,1465,1602,1856,2597,2919,3441,3705
MB1220P,1220,123,153,242,394,548,699,923,1179,1390,1515,1656,1919,2685,3018,3557,3831
MB1270P,1270,128,159,252,410,570,728,960,1228,1447,1577,1724,1998,2795,3142,3703,3988
MB1320P,1320,133,165,262,427,593,757,998,1276,1504,1639,1792,2077,2905,3266,3849,4145
MB1390P,1390,140,174,275,449,624,797,1051,1344,1584,1726,1887,2187,3059,3439,4053,4365
MB1440P,1440,145,180,285,465,647,826,1089,1392,1641,1788,1954,2265,3169,3563,4199,4522
