Model,Suction,Discharge,Dia,Qbep,Hbep
250x200 KS40,250,200,500,0.145,35
250x200 KS50,250,200,500,0.1569,65
250x200 KS56,250,200,560,0.1683,94
300x200 KS56,300,200,560,0.2227,81
300x200 KS63,300,200,630,0.2474,114
300x250 KS40,300,250,400,0.2113,32
300x250 KS45,300,250,450,0.2208,54
350x250 KS63,350,250,630,0.3218,102
350x250 KS71,350,250,710,0.3482,144
350x300 KS45,350,300,450,0.3027,40
350x300 KS50,350,300,500,0.3135,67
400x250 KS80,400,250,800,0.426,190
400x300 KS56,400,300,560,0.4297,86
400x300 KS71,400,300,710,0.4529,130
500x300 KS80,500,300,800,0.6374,163
500x300 KS90,500,300,900,0.6897,233
500x350 KS63,500,350,630,0.5943,109
