Model,Suction,Discharge,Dia,P1,P2,P3,P4,H1,H2,X,ML,LA,R,A,BL,BW,Wpump,Wbase
150x100 KS32,150,100,320,572,110,185,215,300,590,300,1315,2874,1000,330,2240,950,700,600
150x100 KS40,150,100,400,600,728,150,260,370,615,300,1509,3137,1000,330,2550,1140,720,660
200x150 KS32,200,150,320,606,734,200,240,390,595,300,1619,3259,1000,330,2550,1140,720,660
200x150 KS40,200,150,400,646,783,190,280,410,690,300,1774,3503,1250,360,2900,1300,1030,910
250x200 KS32,250,200,320,653,790,245,270,420,690,300,1774,3517,1250,360,2900,1320,1200,910
250x200 KS40,250,200,400,690,837,230,300,460,715,300,1970,3797,1250,380,3240,1400,1510,1090
250x200 KS48,250,200,480,690,837,220,310,460,730,300,2240,4067,1250,560,3540,1380,1620,1140
300x200 KS50,300,200,500,828,843,220,350,550,855,300,2395,4366,1250,610,3830,1490,2140,1380
350x250 KS40,350,250,400,700,847,320,290,470,715,300,1970,3817,1250,400,3270,1410,1730,1170
350x250 KS50,350,250,500,876,915,290,360,570,825,350,2675,4816,1250,440,4000,1560,2570,1510
350x250 KS55,350,250,550,876,915,290,360,570,825,350,2675,4816,1250,440,4000,1560,2570,1510
250x200 KS50,250,200,500,734,871,250,315,520,730,300,1624,3529,1250,440,2850,1410,1060,1080
250x200 KS56,250,200,560,760,907,275,350,530,770,300,1624,3591,1250,450,2900,1460,1380,1130
300x200 KS56,300,200,560,782,929,270,350,570,770,300,1624,3635,1350,470,2940,1520,1420,1170
300x200 KS63,300,200,630,802,974,300,405,600,850,300,1764,3840,1350,480,3240,1660,1880,1340
300x250 KS40,300,250,400,740,868,295,300,540,730,300,1281,3189,1300,480,2630,1440,900,1070
300x250 KS45,300,250,450,764,901,270,325,550,750,300,1624,3589,1350,480,2920,1480,1100,1170
350x250 KS63,350,250,630,828,1000,240,395,620,850,300,1764,3892,1400,510,3300,1660,1950,1520
350x250 KS71,350,250,710,899,1089,360,450,660,960,350,2014,4352,1550,520,3690,1800,2770,1800
350x300 KS45,350,300,450,797,934,315,335,580,780,300,1624,3655,1400,520,2990,1560,1240,1270
350x300 KS50,350,300,500,826,973,280,365,550,800,300,1764,3863,1450,510,3270,1590,1510,1310
400x250 KS80,400,250,800,978,1202,340,515,750,1030,350,2215,4745,1650,570,4020,1930,3750,2060
400x300 KS56,400,300,560,924,1111,280,410,600,930,350,1876,4261,1600,580,3650,1740,2080,1870
400x300 KS71,400,300,710,930,1120,330,455,650,970,350,2014,4414,1600,570,3770,1820,2860,1950
500x300 KS80,500,300,800,1020,1244,380,510,740,1030,350,2385,4999,1750,610,4280,1970,4000,2280
500x300 KS90,500,300,900,1071,1342,380,580,770,1160,400,2765,5578,1850,620,4610,2120,5460,2580
500x300 KS63,500,350,630,970,1160,370,460,690,990,350,2134,4614,1700,630,3990,1880,2900,2200
400×300 KS80,400,300,800,952,1139,380,495,820,1020,350,1876,4317,1650,610,3710,1930,3370,2200
400×350 KS63,400,350,630,930,1102,380,460,800,990,300,1776,4108,1600,630,3550,1880,2570,2130
500×350 KS85,500,350,850,1079,1303,450,560,880,1100,350,1776,4508,1850,680,4180,2120,4870,2680
500×400 KS63,500,400,630,990,1162,385,475,750,1020,300,2134,4586,1750,680,3650,2000,2850,2320
500×400 KS71,500,400,710,1034,1224,435,515,850,1060,350,1776,4384,1800,690,3990,2040,3720,2450
600×400 KS95,600,400,950,1170,1441,420,645,930,1270,400,2014,5025,2050,760,4670,2400,6570,2990
600×400 KS112,600,400,1120,1196,1503,470,730,1000,1360,400,2385,5484,2100,760,5160,2530,9500,3550
600×450 KS71,600,450,710,1091,1281,395,535,800,1110,350,2014,4736,1900,740,4100,2200,4040,2850
600×450 KS80,600,450,800,1142,1366,380,575,910,1140,350,2134,4992,2000,750,4320,2240,5220,2950
700×450 KS112,700,450,1120,1268,1575,450,720,1000,1370,400,3015,6258,2250,830,5300,2580,9800,3760
700×500 KS80,700,500,800,1224,1448,410,595,940,1260,350,2134,5156,2150,830,4480,2420,5720,3500
700×500 KS90,700,500,900,1254,1525,400,645,930,1300,400,2720,5899,2200,850,5030,2480,7310,3600
