Model,Suction,Discharge,Dia,P1,P2,P3,P4,P5,H1,H2,X,ML,LA,R,A,BL,BW,Wpump,Wbase
80×50 R2 33,80,50,330,538,130,585,140,165,300,630,250,996,2499,950,590,2920,1270,700,1300
100×80 R2 36,100,80,360,567,160,634,140,190,320,590,250,1619,3230,1050,610,3420,1400,980,1800
100×80 R2 40,100,80,400,559,145,625,200,220,340,680,250,1618,3197,1050,630,3490,1400,1100,1900
100×80 R2 45,100,80,450,648,180,721,192,226,410,750,350,1495,3394,1400,950,3500,1400,1900,1900
150×100 R2 42,150,100,420,599,185,676,220,225,360,720,240,1509,3209,1100,630,3530,1540,1200,2000
150×100 R2D 45,150,100,450,649,205,672,185,260,427,760,280,1509,3315,1200,650,3580,1600,1700,2000
200×150 R2D 44,200,150,440,650,230,782,230,250,370,780,250,1509,3421,1420,680,3700,1540,1300,2100
250×150 R2D 45,250,150,450,703,275,845,240,280,480,840,250,1774,3847,1500,780,4150,1800,1800,2200
250×200 R2D 70,250,200,700,899,305,948,245,400,640,1040,280,1764,4196,1600,920,4570,1980,2250,4000
300×250 R2D 70,300,250,700,963,330,1000,300,425,700,1135,280,2610,5078,1800,1300,5600,2240,3000,4400
