MatlSpec,Tmin,Su,Sy,100,200,300,400,500,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500
A106-B,,60,35,20.0,20.0,20.0,19.9,19.0,17.9,17.3,16.7,13.9,11.4,8.7,5.9,4.0,2.5,1.6,1.0,,,,,,,,
A333-6,-50,60,35,20.0,20.0,20.0,19.9,19.0,17.9,17.3,16.7,13.9,11.4,8.7,5.9,4.0,2.5,1.6,1.0,,,,,,,,
A671-CC65,,65,35,21.7,21.4,20.6,19.9,19.0,17.9,17.3,16.7,13.9,11.4,9.0,6.3,4.0,2.5,,,,,,,,,,
A335-P5,-20,60,30,20.0,18.1,17.4,17.2,17.1,16.8,16.6,16.3,13.2,12.8,12.1,10.9,8.0,5.8,4.2,2.9,1.8,1.0,,,,,,
A691-5CR,-20,60,30,20.0,18.1,17.4,17.2,17.1,16.8,16.6,16.3,13.2,12.8,12.1,10.9,8.0,5.8,4.2,2.8,2.0,1.3,,,,,,
A312-TP316L,-425,70,25,16.7,16.7,16.7,15.7,14.8,14.0,13.7,13.5,13.2,12.9,12.7,12.4,12.1,11.8,11.6,11.4,8.8,6.4,4.7,3.5,2.5,1.8,1.3,1
A358-Gr316L,-425,70,25,16.7,16.7,16.7,15.7,14.8,14.0,13.7,13.5,13.2,12.9,12.7,12.4,12.1,11.8,11.6,11.4,8.8,6.4,4.7,3.5,2.5,1.8,1.3,1
A312-TP304,-425,75,30,20.0,20.0,20.0,18.6,17.5,16.6,16.2,15.8,15.5,15.2,14.9,14.6,14.3,14.0,12.4,9.8,7.7,6.1,4.7,3.7,2.9,2.3,1.8,1.4
A358-Gr304,-425,75,30,20.0,20.0,20.0,18.6,17.5,16.6,16.2,15.8,15.5,15.2,14.9,14.6,14.3,14.0,12.4,9.8,7.7,6.1,4.7,3.7,2.9,2.3,1.8,1.4
