size_inches,size_mm,D1,D2,L
3/4 x 3/4,20 x 15,26.67,21.34,38.1
3/4 x 3/8,20 x 10,26.67,17.14,38.1
1 x 3/4,25 x 20,33.4,26.67,50.8
1 x 1/2,25 x 15,33.4,21.34,50.8
1 1/4 x 1,32 x 25,42.16,33.4,50.8
1 1/4 x 3/4,32 x 20,42.16,26.67,50.8
1 1/4 x 1/2,32 x 15,42.16,21.34,50.8
1 1/2 x 1 1/4,40 x 32,48.26,42.16,63.5
1 1/2 x 1,40 x 25,48.26,33.4,63.5
1 1/2 x 3/4,40 x 20,48.26,26.67,63.5
1 1/2 x 1/2,40 x 15,48.26,21.34,63.5
2 x 1 1/2,50 x 40,60.32,48.26,76.2
2 x 1 1/4,50 x 32,60.32,42.16,76.2
2 x 1,50 x 25,60.32,33.4,76.2
2 x 3/4,50 x 20,60.32,26.67,76.2
2 1/2 x 2,65 x 50,73.02,60.32,88.9
2 1/2 x 1 1/2,65 x 40,73.02,48.26,88.9
2 1/2 x 1 1/4,65 x 32,73.02,42.16,88.9
2 1/2 x1,65 x 25,73.02,33.4,88.9
3 x 2 1/2,80 x 65,88.9,73.02,88.9
3 x 2,80 x 50,88.9,60.32,88.9
3 x 1 1/2,80 x 40,88.9,48.26,88.9
3 x 1 1/4,80 x 32,88.9,42.16,88.9
3 1/2 x 3,90 x 80,101.6,88.9,101.6
3 1/2 x 2 1/2,90 x 65,101.6,73.02,101.6
3 1/2 x 2,90 x 50,101.6,60.32,101.6
3 1/2 x 1 1/2,90 x 40,101.6,48.26,101.6
3 1/2 x 1 1/4,90 x 32,101.6,42.16,101.6
4 x 3 1/2,100 x 90,114.3,73.02,101.6
4 x 3,100 x 80,114.3,88.9,101.6
4 x 2 1/2,100 x 65,114.3,73.02,101.6
4 x 2,100 x 50,114.3,60.32,101.6
4 x 1 1/2,100 x 40,114.3,48.26,101.6
5 x 4,125 x 100,141.3,114.3,127
5 x 3 1/2,125 x 90,141.3,101.6,127
5 x 3,125 x 80,141.3,88.9,127
5 x 2 1/2,125 x 65,141.3,73.02,127
5 x 2,125 x 50,141.3,60.32,127
6 x 5,150 x 125,168.27,141.3,139.7
6 x 4,150 x 100,168.27,114.3,139.7
6 x 1/2,150 x 90,168.27,101.6,139.7
6 x 3,150 x 80,168.27,88.9,139.7
6 x 1/2,150 x 65,168.27,73.02,139.7
8 x 6,200 x 150,219.07,168.27,152.4
8 x 5,200 x 125,219.07,141.3,152.4
8 x 4,200 x 100,219.07,114.3,152.4
8 x 3 1/2,200 x 90,219.07,101.6,152.4
10 x 8,250 x 200,273.05,219.07,177.8
10 x 6,250 x 150,273.05,168.27,177.8
10 x 5,250 x 125,273.05,141.3,177.8
10 x 4,250 x 100,273.05,114.3,177.8
12 x 10,300 x 250,323.85,273.05,203.2
12 x 8,300 x 200,323.85,219.07,203.2
12 x 6,300 x 150,323.85,168.27,203.2
12 x 5,300 x 125,323.85,141.3,203.2
14 x 12,350 x 300,355.6,323.85,330.2
14 x 10,350 x 250,355.6,273.05,330.2
14 x 8,350 x 200,355.6,219.07,330.2
14 x 6,350 x 150,355.6,168.27,330.2
16 x 14,400 x 350,406.4,355.6,355.6
16 x 12,400 x 300,406.4,323.85,355.6
16 x 10,400 x 250,406.4,273.05,355.6
16 x 8,400 x 200,406.4,219.07,355.6
18 x 16,450 x 400,457.2,406.4,381
18 x 14,450 x 350,457.2,355.6,381
18 x 12,450 x 300,457.2,323.85,381
18 x 10,450 x 250,457.2,273.05,381
20 x 18,500 x 450,508,457.2,508
20 x 16,500 x 400,508,406.4,508
20 x 14,500 x 350,508,355.6,508
20 x 12,500 x 300,508,323.85,508
22 x 20,550 x 500,558.8,508,508
22 x 18,550 x 450,558.8,457.2,508
22 x 16,550 x 400,558.8,406.4,508
22 x 14,550 x 350,558.8,355.6,508
24 x 22,600 x 550,609.6,558.8,508
24 x 20,600 x 500,609.6,508,508
24 x 18,600 x 450,609.6,457.2,508
24 x 16,600 x 400,609.6,406.4,508
